VARI	NOME	DESDE	TAM	CODI	S	F	CATEG	
1	Identificação	1	8		Z	 	 	
102	Número de Controle	1	6		Z	 		
103	Número de Série	7	2		N			
10	Unidade da Federação	1	2		Z		6	
	11- Rio de Janeiro							
	21- São Paulo							
	33- Rio Grande do Sul							
	41- Minas Gerais 							
	56- Pernambuco							
	59- Bahia							
11	Final do Controle 	3	3		Z			
2	Pasta	29	5		Z	 		
3	Situação	34	1		N	 	4	
	1- urbana							
	3- conglomerado urbano							
	5- rural							
	7- conglomerado rural							
2001	Dia de Referência	35	2		N	 		
2002	Mês de Referência	37	2		N 	 		
7777	Item de grupo	41	110		L	 		
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
********   VARIÁVEIS DO DOMICÍLIO   *******								
								
VARI	NOME	DESDE	TAM	CODI	S	F	CATEG	
101	Número no 202/203	9	4	 	N	 		
104	Tipo de Entrevista	13	1		N	 	9	
	1- entrevista realizada							
	2- fechada							
	3- recusa							
	4- outras							
	5- tipo B							
	6- tipo C							
	7- não identificado							
	8- não identificado							
 	9- sem declaração	 	 	 	 	 		
105	Mês da Pesquisa	14	2		N	 	12	
 	 1- janeiro	 	 	 	 	 		
 	 2- fevereiro	 	 	 	 	 	 	
	 3- março							
	 4- abril							
	 5- maio							
	 6- junho							
	 7- julho							
	 8- agosto							
	 9- setembro							
	10- outubro							
	11- novembro							
	12- dezembro							
106	Remessa	16	1		N	 	4	
 	1- remessa 1	 	 	 		 	 	
	2- remessa 2							
	3- remessa 3							
	4- remessa 4							
107	Código do Entrevistador	17	3		N			
108	Unidade Adicional	20	1		N		3	
	1- é							
	3- não é 							
	9- sem declaração							
109	Total de Pessoas	21	2		N			
110	Total de 10 anos e mais	23	2		N 	 	31	
	 0- não entrevista							
	 1- 1 pessoa							
	 2- 2 pessoas							
	 3- 3 pessoas							
	 4- 4 pessoas							
 	 5- 5 pessoas	 	 		 	 	 	
 	 6- 6 pessoas	 	 			 	 	
 	 7- 7 pessoas	 	 	 	 	 		
 	 8- 8 pessoas	 	 	 		 		
 	 9- 9 pessoas	 	 	 	 	 		
								
								
VARI	NOME	DESDE	TAM	CODI	S	F	CATEG	
110	Total de 10 anos e mais	23	2	 	N	 	31	
	10- 10 pessoas							
	11- 11 pessoas							
	12- 12 pessoas							
	16- 16 pessoas							
	17- 17 pessoas							
 	18- 18 pessoas	 	 			 	 	
	19- 19 pessoas							
	20- 20 pessoas							
 	21- 21 pessoas	 	 	 	 	 	 	
 	22- 22 pessoas	 	 	 	 	 		
 	23- 23 pessoas	 	 	 	 	 	 	
 	24- 24 pessoas	 	 	 	 	 		
 	25- 25 pessoas	 	 	 	 	 	 	
	26- 26 pessoas	 						
	27- 27 pessoas							
 	28- 28 pessoas							
	29- 29 pessoas							
	30- 30 pessoas							
111	Número de Ordem do Informante	25	2		N			
112	Espécie do Domicílio	27	1		N		4	
	2- particular	 						
	4- coletivo							
	9- sem declaração							
 	 - não aplicável	 	 	 	 	 	 	
113	Alteração no PME 2.08	28	1	 	N	 	4	
	1- tem							
	3- não tem							
	9- sem declaração							
 	 - não aplicável	 	 	 	 			
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
*******  VARIÁVEIS DAS PESSOAS   *******								
								
VARI	NOME	DESDE	TAM	CODI	S	F	CATEG	RENO
201	Número de Ordem	41	2	 	N	 	 	 
202	Sexo	43	1	 	N	 	3	 
 	1- homem	 	 	 	 	 		 
 	3- mulher	 	 	 	 	 	 	 
 	 -header	 	 	 	 	 		 
203	Condição no Domicílio	44	1	 	N	 	10	 
	1- chefe	 						
	2- cônjuge							
 	3- filho							 
	4- outro parente							
	5- agregado							
 	6- pensionista	 	 	 	 			 
 	7- empregado doméstico	 	 	 	 	 	 	 
	8- parente empregado doméstico	 						
	9- sem declaração							
	 - header							
204	Condição na Família	45	1	 	N	10	10	203
205	Número da Família	46	1	 	N		10	 
	1- uma família							
	2- duas famílias							
	3- três famílias							
 	4- quatro famílias	 	 	 	 			 
	5- cinco famílias							
	6- seis famílias							
	7- sete famílias							
	8- oito famílias							
	9- nove famílias							
 	 - header							
206	Dia de Nascimento	47	2		N	 	34	
	 0- idade presumida							
	 1- dia 1º							
	 2- dia 2							
	 3- dia 3							
	 4- dia 4							
	 5- dia 5							
	 6- dia 6							
	 7- dia 7							
	 8- dia 8							
	 9- dia 9							
	10- dia 10							
	11- dia 11							
	12- dia 12							
	13- dia 13							
	14- dia 14							
	15- dia 15							
	16- dia 16 							
	17- dia 17							
								
VARI	NOME	DESDE	TAM	CODI	S	F	CATEG	RENO
206	Dia de Nascimento	47	2		N	 	34	
	18- dia 18							
	19- dia 19							
 	20- dia 20	 	 	 	 	 	 	 
 	21- dia 21	 	 	 	 	 	 	 
 	22- dia 22	 	 	 	 	 		 
 	23- dia 23	 	 	 	 	 	 	 
 	24- dia 24	 	 	 	 	 		 
 	25- dia 25	 	 	 	 	 	 	 
	26- dia 26	 						
	27- dia 27							
 	28- dia 28							 
	29- dia 29							
	30- dia 30							
 	31- dia 31	 	 	 	 			 
	99- sem declaração							
 	 - header	 	 	 	 	 	 	 
236	Mês de Nascimento	49	2		N		16	
	 1- janeiro							
	 2- fevereiro							
 	 3- março	 	 	 	 	 	 	 
	 4- abril		 	 	 	 	 	 
	 5- maio							
	 6- junho							
	 7- julho							
 	 8- agosto	 	 	 	 			 
	 9- setembro							
	10- outubro							
	11- novembro							
	12- dezembro							
	20- idade presumida morador							
 	30- idade presumida entr.							
 	99- sem declaração	 	 		 	 		
	 - header							
246	Ano de Nascimento	51	3		N			
207	Sabe ler e escrever	54	1		N		4	
	1- sim							
	3- não							
	9- sem declaração							
	 - header							
208	Freqüenta Escola	55	1		N		4	
	1- sim							
	3- não							
	9- sem declaração							
	 - header							
209	Última série concluída	56	1		N		11	
	0- grau sem relação							
	1- 1ª série							
	2- 2ª série							
								
VARI	NOME	DESDE	TAM	CODI	S	F	CATEG	RENO
209	Última série concluída	56	1		N		11	
	3- 3ª série							
	4- 4ª série							
	5- 5ª série							
	6- 6ª série							
 	7- 7ª série	 	 	 	 	 	 	 
 	8- 8ª série	 	 	 	 	 	 	 
 	9- sem declaração	 	 	 	 	 		 
 	 - header	 	 	 	 	 	 	 
210	Grau	57	1	 	N	 	10	 
 	0- nunca freqüentou	 	 	 	 	 	 	 
	1- elementar	 						
	2- médio 1º ciclo							
 	3- 1º grau							 
	4- médio 2º ciclo							
	5- 2º grau							
 	6- superior	 	 	 	 			 
 	7- doutorado/mestrado	 	 	 	 	 	 	 
 	9- sem declaração	 	 	  	  		 	
	 - header							
211	Concluiu o curso?	58	1		N		4	
 	1- sim	 	 	 	 	 	 	 
	3- não		 	 	 	 	 	 
	9- sem declaração							
	 - header							
301	Que fez na semana?	59	1		N		10	
 	0- não determinado	 	 	 	 			 
	1- trabalhou							
	2- tinha trabalhado							
	3- procurou trabalho							
	4- aposentado/pensionista 							
	5- estudante							
 	6- afazeres domésticos							
 	7- outra	 	 		 	 		
	9- sem declaração							
 	 -header	 	 	 	 			
302	Tinha outro trabalho /sem	60	1		N		4	
	1- sim							
	3- não							
	9- ignorado							
	 - não aplicável							
303	Ocupação na semana	61	3		N		373	
	  1- agricultor							
	  2- criador de bovinos							
	  3- avicultor							
	  4- criador de diversos							
 	  5- prop. Agrop.  S/ especific	 	 	 	 		 	
	  6- emp. Extração vegetal pesc							
	  7- emp. Extração mineral							
 								
VARI	NOME	DESDE	TAM	CODI	S	F	CATEG	RENO
303	Ocupação na semana	61	3		N		373	
	  8- emp. Indústria de transfor							
	  9- emp. Construção Civil							
	 10- comerciante							
	 11- hotel, dono de pensão							
	 12- empresas de transportes							
 	 13- outros proprietários	 	 	 	 	 	 	 
 	 20- ministro, etc. 	 	 	 	 	 	 	 
 	 21- diretor assessor	 	 	 	 	 		 
 	 24- não identificado	 	 	 	 	 	 	 
 	 26- não identificado		 	  	 	 	 	 
 	 30- adm. Agropecuário	 	 	 	 	 	 	 
	 31- adm. Extração veg. pesca	 						
	 32- adm. Extração mineral							
 	 33- adm. Indústria de transf.							 
	 34- adm. Construção civil							
	 35- adm. Com. Mercad.							
 	 36- adm. Hotéis	 	 	 	 			 
 	 37- adm. Transportes	 	 	 	 	 	 	 
 	 38- adm. Financeiras	 	 	  	  		 	
	 39- outros administradores							
 	 40- encarregado administrativo	 	 			 	 	
 	 50- fiscais de tributos	 	 	 	 	 	 	 
	 51- inspetor trabalho		 	 	 	 	 	 
	 52- assistente administrativo 							
	 53- caixas							
	 54- almoxarifes	 	 		 		 	
 	 55- expedidores	 	 	 	 			 
	 56- datilógrafos							
	 57- operador  tele-impressor							
	 58- op. Maq. p. automática							
	 59- secretárias 							
	 60- auxiliar contábil							
 	 61- operador de copiadoras 							
 	 62- arquivistas	 	 		 	 		
	 63- recepcionistas							
 	 64- auxiliar administrativo	 	 	 	 			
	 65- auxiliar de escritório	 	 		 		 	
	101- engenheiro							
	102- arquitetos							
	103- agrimensores							
	104- cartógrafos							
 	111- desenhistas	 	 		 		 	
	112- técnico em edificações							
	113- outras ocupações eng.							
	121- químicos							
	122- farmacêuticos							
 	123- físicos	 	 	 	 		 	
	124- geólogos mineral.							
								
VARI	NOME	DESDE	TAM	CODI	S	F	CATEG	RENO
303	Ocupação na semana	61	3		N		373	
	125- outros química/física							
	131- técnicos químicos							
	132- prático farmácia							
	133- técnicos meteorológicos							
	141- agrônomos							
	142- biologistas							
 	143- farmacologistas	 	 	 	 	 	 	 
 	144- veterinários	 	 	 	 	 	 	 
 	151- médicos	 	 	 	 	 		 
 	152- dentistas	 	 	 	 	 	 	 
 	153- enfermeiro diplomado		 	  	 	 	 	 
 	154- outra medicina	 	 	 	 	 	 	 
	161- acadêmico hosp	 						
	162- enfermeiro não diplomado							
 	163- massagistas							 
	164- ortoptistas/óticos							
	165- op. eq. médicos							
 	166- parteiras	 	 	 	 			 
 	167- protéticos	 	 	 	 	 	 	 
 	168- téc. anal.clínica	 	 	  	  		 	
	171- matemáticos							
 	172- estatísticos	 	 			 	 	
 	173- analista de sistemas	 	 	 	 	 	 	 
	181- economistas		 	 	 	 	 	 
	182- contadores							
	183- técnico administrativos 							
	191- técnico em contabilidade	 	 		 		 	
 	192- técnico em estatística	 	 	 	 			 
	193- programador de computador							
	196- não identificado							
	201- sociólogos, etc. 							
	202- psicólogos							
	203- geógrafos							
 	204- assistentes sociais							
 	205- outros cient. soc.	 	 		 	 		
	211- professor pesquisador							
 	212- professor superior	 	 	 	 			
 	213- professor de 2º grau	 	 		 		 	
	214- professor de 5º a 8º série							
	215- professor de 1ª a 4ª série							
	216- professor de 1º grau							
	217- professor pré-escolar							
	218- professor profissional							
 	219- professor	 	 		 		 	
	221- orientador de ensino							
	222- inspetor de alunos							
	231- magistrados							
	232- procuradores, etc. 							
								
VARI	NOME	DESDE	TAM	CODI	S	F	CATEG	RENO
303	Ocupação na semana	61	3		N		373	
 	233- advogados, etc.	 	 	 	 		 	
	241- tabeliães							
	242- escrivães							
	243- oficiais de justiça							
	244- outros auxiliares justiça  							
	251- religiosos							
	261- escritor jornalístico							
	271- escultor, pintor							
 	272- artesão	 	 	 	 	 	 	 
 	273- decorador/cenógrafo	 	 	 	 	 	 	 
 	274- fotógrafos	 	 	 	 	 		 
 	275- músicos/compositor	 	 	 	 	 	 	 
 	276- artista tv/cinema/teatro		 	  	 	 	 	 
 	277- artista de circo	 	 	 	 	 	 	 
	278- locutores/comentaristas	 						
	279- prod. diretor espet.							
 	280- cinegrafistas, etc.							 
	281- op. eq. de som e cenog.							
	282- outros op. rádio/tv							
 	283- op. projetor de cinema	 	 	 	 			 
 	291- bibliotecários	 	 	 	 	 	 	 
 	292- museólogos arq.	 	 	  	  		 	
	293- outras ocupações							
 	301- produtor agropecuário aut.	 	 			 	 	
 	302- técnico agropecuário	 	 	 	 	 	 	 
	303- tratoristas agrícolas		 	 	 	 	 	 
	304- outros trabalhos agrop.							
	321- caçadores							
	322- pescadores	 	 		 		 	
 	331- madereiros	 	 	 	 			 
	332- lenhadores							
	333- carvoeiros							
	334- seringueiros							
	335- ervateiros							
	336- apanhad. produtos vegetais							
 	341- mineiros							
 	345- canteiros/marroei	 	 		 	 		
	351- op. maq. extração mineral							
 	361- trab. Ext. gás petróleo	 	 	 	 			
 	371- garimpeiros	 	 		 		 	
	381- salineiros							
	391- sondad. poço gás							
	401- téc. emp. extração mineral							
	402- técnico indústria transf. 							
 	403- mestres indústria têxteis	 	 		 		 	
	404- mestre construção civil							
	405- técnico energia elétrica							
	406- outros mestres							
VARI	NOME	DESDE	TAM	CODI	S	F	CATEG	RENO
303	Ocupação na semana	61	3		N		373	
	411- forneiro metalúrgico							
 	412- laminadores	 	 	 	 		 	
	413- trefiladores							
	414- modeladores mach.							
	415- galvanizador, etc.							
	416- afiadores/amoladores							
	417- polidores esmeril							
	418- ferramenteiros							
	419- estampadores meca.							
 	420- operador prensa	 	 	 	 	 	 	 
 	421- fresador/furador	 	 	 	 	 	 	 
 	422- torneiro mecânico	 	 	 	 	 		 
 	423- ajustador montador	 	 	 	 	 	 	 
 	424- mecânico veículo		 	  	 	 	 	 
 	425- mecânicos	 	 	 	 	 	 	 
	426- soldadores	 						
	427- rebitadores							
 	428- caldeireiros							 
	429- ferreiros/serralheiros							
	430- funileiros							
 	431- lanterneiros	 	 	 	 			 
 	440- não identificado	 	 	 	 	 	 	 
 	441- cardador/pentead.	 	 	  	  		 	
	442- maçaroqueiro bob.							
 	443- fiandeiros	 	 			 	 	
 	444- rendeiros	 	 	 	 	 	 	 
	445- urdidores		 	 	 	 	 	 
	446- cordoeiros							
	447- tecelões							
	448- tapeceiros	 	 		 		 	
 	449- redeiros	 	 	 	 			 
	450- alvejadores tintureiro							
	451- estampador têxtil							
	452- acabador d. pano							
	461- correeiro seleiro							
	462- curtidores							
 	470- alfaiates costureiros							
 	471- auxiliar de costura	 	 		 	 		
	472- calçeiros/camiseiros							
 	473- modelistas cort.	 	 	 	 			
 	474- bordadeiras/cerzideiras	 	 		 		 	
	475- chapeleiro palha							
	476- chapeleiro exc. palha							
	477- sapateiros							
	478- trabalho fabric. sapato							
 	479- bolseiro/cinteiro	 	 		 		 	
	481- marceneiro							
	482- carpinteiro							
								
VARI	NOME	DESDE	TAM	CODI	S	F	CATEG	RENO
303	Ocupação na semana	61	3		N		373	
	483- tanoeiros							
	484- operador maq. marceneiro							
 	485- serradores	 	 	 	 		 	
	486- prep. Compensado							
	487- estofador capoteiro							
	488- colchoeiros							
	489- lustrador madereiro							
	490- cesteiro e estei							
	491- montador equip. elétrico							
	492- montador equip. eletronica							
 	493- reparador  de equipamentos	 	 	 	 	 	 	 
 	494- montador rádio/tv	 	 	 	 	 	 	 
 	495- reparador rádio/tv	 	 	 	 	 		 
 	496- elétricista instalador	 	 	 	 	 	 	 
 	497- inst rep eq telégrafo 		 	  	 	 	 	 
 	498- inst rep lin elétrico	 	 	 	 	 	 	 
	499- op inst energia elétrica	 						
	511- armador concreto							
 	512- pedreiros							 
	513- servente de pedreiros							
	514- pintor caiador							
 	515- estucador	 	 	 	 			 
 	516- ladrilheiro taq	 	 	 	 	 	 	 
 	517- encanadores	 	 	  	  		 	
	518- vidraceiro							
 	519- calceteiro asfal	 	 			 	 	
 	520- calafates	 	 	 	 	 	 	 
	521- op máq construção civil		 	 	 	 	 	 
	531- linguiceiro salsicheiro							
	532- charqueadores							
	533- magarefes	 	 		 		 	
 	534- ocupação indústria laticín	 	 	 	 			 
	535- doceiros e confeiteiros							
	536- macarroneiro pas							
	537- padeiros							
	538- farinheiro moleiro							
	539- ocupação indústria açúcar							
 	540- ocupação indústria bebidas							
 	541- ocupação indústria café	 	 		 	 		
	542- ocupação indústria pescado							
 	543- ocupação indústria chá,etc 	 	 	 	 			
 	544- ocupação indústria oleagin	 	 		 		 	
	545- ocupação indústria aliment							
	551- linotipistas							
	552- tipógrafos							
	553- clicheristas e gr							
 	554- impressores	 	 		 		 	
	555- revista indústria gráfica							
								
VARI	NOME	DESDE	TAM	CODI	S	F	CATEG	RENO
303	Ocupação na semana	61	3		N		373	
	556- encadernador car							
	557- outras ocup ind gráfica 							
	561- vidreiro/ampoleiro							
 	562- ceramistas/louçeiros	 	 	 	 		 	
	563- pintores cerâmica							
	564- oleiros							
	571- inspetor de qualidade							
	572- ourives/relojoeiro							
	573- lapidadores							
	574- borracheiros							
	575- vulcanizador rec							
 	576- fogueteiros	 	 	 	 	 	 	 
 	577- vassoureiros	 	 	 	 	 	 	 
 	578- marmoristas	 	 	 	 	 		 
 	579- preparadores fumo	 	 	 	 	 	 	 
 	580- charuteiros cigarro		 	  	 	 	 	 
 	581- pintores a pistola	 	 	 	 	 	 	 
	582- operador de empilhadeira	 						
	583- foguista							
 	584- emb mercadorias							 
	585- ocupação indústria papel							
	586- ocup ind artigo borracha							
 	587- oc ind artigo cimento	 	 	 	 			 
 	588- supervisor/segurança	 	 	 	 	 	 	 
 	589- outroa ocup indústria tra	 	 	  	  		 	
	601- comércio conta própria							
 	602- vendedores	 	 			 	 	
 	603- operador de caixa	 	 	 	 	 	 	 
	604- repositor de mercadorias		 	 	 	 	 	 
	605- demonstradores							
	611- feirantes							
	612- aguadeiros	 	 		 		 	
 	613- doceiros, etc.	 	 	 	 			 
	614- quitandeiros, etc.							
	615- tripeiro, etc.							
	616- bilheteiros							
	617- outra ocupação ambulante							
	621- vendedores jornal revista							
 	631- pracistas e viajantes							
 	632- representante comercial	 	 		 	 		
	633- propagandista							
 	641- corretor de seguros	 	 	 	 			
 	642- corretor de imóveis	 	 		 		 	
	643- corretor títulos e valores							
	644- avaliador/leiloeiro 							
	645- outros agentes corretor 							
	646- compradores							
 	711- aviador civil	 	 		 		 	
								
VARI	NOME	DESDE	TAM	CODI	S	F	CATEG	RENO
303	Ocupação na semana	61	3		N		373	
	712- comissário de bordo							
	721- oficial marinha mercante							
	722- mestres de embarcações 							
	723- maquinista de embarcação							
 	724- foguista de embarcação	 	 	 	 		 	
	725- marinheiro civil							
	726- taifeiros							
	727- barqueiros e  canoeiros							
	731- guindasteiros							
	732- estivadores							
